boro,order_no,main_st,from_st,to_st,sos
B,P-00097673,DECATUR AVENUE,EAST FORDHAM ROAD,EAST  193 STREET,W
B,P-00097680,EAST FORDHAM ROAD,HUGHES AVENUE,BELMONT AVENUE,S
B,P-00097691,KATONAH AVENUE,EAST  235 STREET,EAST  236 STREET,E
B,P-00097700,WHITE PLAINS ROAD,EAST  213 STREET,EAST GUNHILL ROAD,W
B,P-010938  ,WOOD AVENUE,METROPOLITAN AVENUE,WEST AVENUE,S
B,P-01249551,EAST  205 STREET,PERRY AVENUE,BAINBRIDGE AVENUE,N
B,P-01249755,WESTCHESTER AVENUE,EVERGREEN AVENUE,COLGATE AVENUE,N
B,P-01249757,WESTCHESTER AVENUE,BURR AVENUE,COLONIAL AVENUE,N
B,P-01249822,PELHAM PARKWAY SOUTH,WILSON AVENUE,EASTCHESTER ROAD,N
B,P-01249890,EAST  208 STREET,DEKALB AVENUE,JEROME AVENUE,N
B,P-01249901,EAST  205 STREET,PERRY AVENUE,EAST  204 STREET,S
B,P-01249905,EAST  206 STREET,BAINBRIDGE AVENUE,PERRY AVENUE,S
B,P-01249961,KOSSUTH AVENUE,EAST  210 STREET,DEKALB AVENUE,W
B,P-01249962,THIRD AVENUE,EAST  152 STREET,EAST  153 STREET,E
B,P-01249994,THIRD AVENUE,EAST  147 STREET,EAST  148 STREET,E
B,P-01250205,WESTCHESTER AVENUE,COLONIAL AVENUE,SAINT PAULS AVENUE,N
B,P-01250214,WESTCHESTER AVENUE,CONTINENTAL AVENUE,WILKINSON AVENUE,N
B,P-01250221,WESTCHESTER AVENUE,HOBART AVENUE,EDISON AVENUE,N
B,P-01250230,WESTCHESTER AVENUE,BUHRE AVENUE,PILGRIM AVENUE,N
B,P-01250308,FOREST AVENUE,EAST  160 STREET,EAST  158 STREET,E
B,P-01250350,WESTCHESTER AVENUE,ZEREGA AVENUE,PARKER STREET,N
B,P-01250358,WESTCHESTER AVENUE,ROWLAND STREET,ZEREGA AVENUE,N
B,P-01250361,WESTCHESTER AVENUE,BOYNTON AVENUE,ELDER AVENUE,N
